LATITUD;LONGITUD;DIA_SEMANA;MES_LARGO;DESCRIPCION_CONDUCTA;;;
4.130.908.106;-7.354.884.304;7;7;2395;;;
4.133.280.148;-7.361.305.061;6;7;2395;;;
4.141.365.494;-7.363.332.134;4;7;2395;;;
413.133.157;-7.363.803.138;6;7;2395;;;
4.158.378.329;-7.363.694.298;5;7;2395;;;
413.538.608;-7.361.516.041;6;10;2395;;;
414.072.531;-7.362.406.689;1;8;2393;;;
4.079.999.262;-7.366.939.437;6;8;2395;;;
4.124.763.942;-7.362.718.976;1;8;2395;;;
4.138.263.534;-7.363.048.229;2;8;2395;;;
4.151.525.859;-7.359.407.258;7;7;2395;;;
4.070.314.215;-7.367.173.326;1;11;2396;;;
4.080.442.526;-7.366.922.593;6;6;2395;;;
4.081.298.026;-7.367.041.846;1;1;2395;;;
408.267.565;-7.366.643.003;4;1;2395;;;
4.101.541.689;-7.365.655.349;5;2;2395;;;
410.235.353;-7.365.183.353;6;10;2396;;;
4.105.639.701;-7.365.048.267;3;8;2395;;;
4.107.534.124;-7.365.211.022;3;1;2395;;;
41.090.216;-7.365.467.441;2;8;2395;;;
4.113.398.297;-736.065.809;4;5;2395;;;
4.116.820.565;-7.359.918.525;3;4;2395;;;
4.118.438.472;-7.362.798.519;7;10;2395;;;
4.119.230.535;-7.365.012.538;2;10;2395;;;
4.120.001.015;-7.361.581.456;5;9;2395;;;
4.122.792.888;-7.362.647.601;6;10;2395;;;
4.123.033.196;-7.361.272.798;4;5;2395;;;
4.124.037.673;-7.362.860.482;2;9;2395;;;
4.127.767.844;-735.438.503;5;8;2395;;;
4.127.962.063;-7.356.899.392;2;8;2395;;;
4.129.757.014;-7.360.334.884;5;10;2396;;;
4.131.048.221;-7.362.977.646;7;1;2396;;;
4.131.258.503;-736.289.252;1;11;2395;;;
4.133.001.144;-7.363.427.206;1;11;2395;;;
4.133.629.519;-7.363.347.352;5;5;2395;;;
4.133.676.916;-7.360.538.613;1;10;2396;;;
4.134.074.493;-7.363.150.908;6;6;2395;;;
4.134.212.022;-7.361.230.395;5;12;2395;;;
4.136.101.047;-7.358.647.213;4;11;2396;;;
4.138.425;-7.362.161.242;4;2;2395;;;
4.138.563.478;-7.358.421.814;7;4;2395;;;
4.140.408.402;-7.361.071.496;4;8;2395;;;
4.141.124.725;-7.362.083.566;3;8;2395;;;
4.142.313.815;-7.358.575.117;4;8;2395;;;
4.145.469.166;-736.380.402;6;9;2395;;;
4.145.790.271;-7.364.218.604;2;10;2395;;;
4.146.753.339;-7.358.912.122;1;12;2396;;;
4.147.780.611;-7.362.070.691;2;9;2395;;;
4.148.128.666;-736.408.729;1;12;2395;;;
4.148.529.662;-7.362.679.016;4;10;2395;;;
4.150.585.796;-7.361.546.125;4;9;2395;;;
4.151.186.884;-7.362.541.258;1;10;2395;;;
4.151.565.311;-7.361.541.786;4;4;2395;;;
4.152.491.503;-7.363.456.529;3;10;2395;;;
4.152.625.906;-7.363.464.289;5;9;2395;;;
4.154.679.237;-736.209.485;2;5;2395;;;
4.132.386.693;-7.359.066.122;3;9;2393;;;
4.135.735.714;-7.363.638.695;6;1;2393;;;
4.132.363.698;-736.275.841;3;5;2394;;;
4.064.318.048;-7.366.742.122;6;5;2395;;;
4.112.553.007;-7.363.109.243;5;9;2395;;;
4.127.493.727;-7.354.647.911;1;5;2395;;;
4.130.045.391;-7.363.012.523;3;4;2395;;;
4.133.898.853;-7.361.031.604;3;3;2395;;;
4.143.556.856;-7.363.032.805;5;8;2395;;;
4.151.773.794;-7.363.434.326;3;3;2395;;;
4.158.195.353;-7.366.124.046;5;3;2395;;;
4.160.396.064;-7.364.605.854;1;4;2395;;;
4.170.188.917;-7.362.120.044;7;4;2396;;;
3.915.522.667;-73.685.112;2;4;2391;;;
3.934.153.425;-7.368.747.235;5;3;2395;;;
39.563.523;-7.379.004.002;5;11;2394;;;
3.961.832.355;-7.378.167.153;5;10;2396;;;
3.970.737.367;-737.730.872;5;6;2394;;;
3.971.957.517;-7.380.205.632;1;4;2394;;;
3.974.376.407;-7.376.757.384;4;1;2396;;;
3.974.911.558;-7.378.287.316;1;3;2395;;;
3.975.981.861;-737.619.412;2;1;2393;;;
3.979.256.976;-7.375.733.853;6;10;2395;;;
3.980.284.461;-7.374.961.377;7;3;2394;;;
3.981.033.668;-7.374.918.461;2;3;2396;;;
3.981.226.321;-7.375.785.351;6;10;2395;;;
3.981.740.062;-737.209.034;5;10;2395;;;
3.982.853.167;-7.375.832.558;5;11;2394;;;
3.983.089.957;-7.376.229.726;1;10;2395;;;
3.983.238.472;-7.376.325.012;1;8;2394;;;
3.983.677.292;-7.376.881.838;4;1;2395;;;
3.983.730.806;-7.376.641.512;6;3;2393;;;
3.984.244.546;-7.376.537.443;4;3;2395;;;
3.985.282.727;-73.773.067;5;3;2395;;;
3.985.742.951;-737.667.799;2;1;2395;;;
3.985.796.466;-7.376.260.639;1;3;2395;;;
3.986.498.416;-7.375.884.837;5;11;2395;;;
3.986.641.993;-7.377.037.406;5;4;2395;;;
3.986.770.428;-7.376.238.108;6;3;2393;;;
3.986.927.473;-737.794.332;5;4;2396;;;
3.987.380.491;-7.375.960.231;6;3;2395;;;
3.987.576.644;-737.691.491;1;3;2393;;;
3.987.669.469;-7.376.327.158;6;3;2395;;;
3.987.755.092;-7.377.733.708;2;1;2396;;;
3.988.033.366;-7.376.755.238;5;10;2395;;;
3.988.173.909;-737.640.302;1;12;2395;;;
398.906.084;-7.376.407.624;2;10;2691;;;
3.990.783.996;-7.375.498.891;6;3;2395;;;
3.990.944.538;-7.375.472.069;2;3;2396;;;
3.991.923.845;-7.378.364.564;4;3;2395;;;
3.993.149.316;-7.378.038.407;2;2;2396;;;
3.993.378.384;-7.377.962.664;4;4;2396;;;
3.993.418.431;-7.376.508.996;2;6;2394;;;
3.994.455.055;-7.376.939.774;5;4;2395;;;
399.505.441;-7.376.823.903;2;1;2394;;;
3.996.424.363;-7.376.506.329;3;10;2395;;;
3.996.789.662;-737.680.857;4;12;2395;;;
3.996.873.879;-7.379.536.152;6;1;2395;;;
3.997.644.476;-7.376.342.178;6;11;2394;;;
3.998.399.018;-7.376.948.894;7;3;2395;;;
4.000.598.424;-7.382.136.822;7;7;2394;;;
400.094.091;-7.377.471.924;3;4;2395;;;
4.002.353.664;-7.378.849.507;1;3;2396;;;
4.003.680.794;-7.378.772.259;2;3;2393;;;
4.005.007.922;-7.375.969.887;3;3;2391;;;
4.005.735.701;-737.706.852;7;3;2396;;;
400.802.606;-7.377.244.473;1;10;2395;;;
4.008.047.465;-7.377.506.257;5;1;2396;;;
